City,Industry,avg_salary
Beacon,"Marketing, Advertising & Pr",60000
Beaverton,"Computing Or Tech",69000
"Beaverton ","Data Breach",56410
Belfast,Nonprofits,78000
Bellevue,"Computing Or Tech",149000
Bellevue,"Bunited Statesiness Or Consulting",122000
Bellevue,Nonprofits,65000
Bellingham,"Health Care",49000
Bellingham,"Hospitality & Events",31200
"Bemidji ","Engineering Or Manufacturing",85000
Bentonville,Retail,145000
Berkeley,Nonprofits,88500
Berkeley,"Education (Higher Education)",71866.67
Berlin,"Computing Or Tech",68000
Berlin,"Bunited Statesiness Or Consulting",48000
Berlin,Retail,70
Berryville,"Health Care",38480
Bethesda,"Government And Public Administration",94845
"Bethesda MD","Government And Public Administration",76000
"Beverly Hills",Retail,44200
Billings,"Marketing, Advertising & Pr",45000
Birmingham,"Education (Higher Education)",30023
Birmingham,Insurance,26700
Birmingham,"Government And Public Administration",26350
"Birmingham ","Stem Medical Research",40000
"Birmingham, UK","Accounting, Banking & Finance",61000
Bloomington,Insurance,98000
Bloomington,"Government And Public Administration",91000
Bloomington,"Educational Technology - Hybrid Between Book Publishing And Technology Really",67000
Bloomington,"Computing Or Tech",60000
Bluffton,"Education (Higher Education)",37926
"Boca Raton","Accounting, Banking & Finance",96642
"Boca Raton","Wealth Advisor Research",50000
Bogota,"Utilities & Telecommunications",102000000
Boise,"Health Care",71488
Boise,"Education (Higher Education)",66050
Boise,"Computing Or Tech",65000
Boise,Nonprofits,54912.5
Boise,"Government And Public Administration",54000
Boise,"Marketing, Advertising & Pr",50000
Boise,"Media & Digital",44000
Boise,"Engineering Or Manufacturing",40000
"Bolton ","Engineering Or Manufacturing",30000
Bonn,"Computing Or Tech",68000
Boston,"Pharmaceutical Development",230000
Boston,"Computing Or Tech",200899.32
Boston,Pharma/Biotech,175000
Boston,"Bunited Statesiness Or Consulting",147200
Boston,"Agriculture Or Forestry",138800
Boston,Finance,130000
Boston,Law,113300
Boston,"Government And Public Administration",108800
Boston,"Accounting, Banking & Finance",98950
Boston,"Recruitment Or Hr",87685.71
Boston,Pharma,87000
Boston,"Media & Digital",86000
Boston,"Engineering Or Manufacturing",85000
Boston,"Marketing, Advertising & Pr",85000
Boston,Nonprofits,80558.82
Boston,"Art & Design",80000
Boston,"Health Care",77050.62
Boston,"Education (Higher Education)",76448.28
Boston,"Utilities & Telecommunications",72633
Boston,"Property Or Construction",72000
Boston,"Public Health",71000
Boston,"Cultural Heritage",60500
Boston,"Education (Primary/Secondary)",58000
Boston,"Medical Research",43000
Boston,Insurance,41600
Boston,Retail,4100
"Boston ","Bunited Statesiness Or Consulting",120000
"Boston ","Health Care",85000
"Boston ","Social Work",58500
"Boston area","Marketing, Advertising & Pr",115000
"Boston, MA",Law,85000
"Boston, MA",Nonprofits,68000
Boston/Cambridge,"Computing Or Tech",62400
Boulder,"Computing Or Tech",146333.33
Boulder,Nonprofits,71000
Bournemouth,"Education (Higher Education)",26500
"Bournemouth ","Accounting, Banking & Finance",26500
Bozeman,"Accounting, Banking & Finance",100000
Bozeman,"Government And Public Administration",46000
Bozeman,Nonprofits,35360
"Bozeman, MT","Marketing, Advertising & Pr",185000
Brea,"Transport Or Logistics",67000
"Brentwood ","Accounting, Banking & Finance",78000
Brest,"Computing Or Tech",20400
"Brigham City","Engineering Or Manufacturing",74000
Brighton,Digital,42860
Brighton,"Computing Or Tech",34000
Brighton,"Marketing, Advertising & Pr",28
Brisbane,"Agriculture Or Forestry",90000
Brisbane,"Accounting, Banking & Finance",76333.33
Brisbane,"Education (Higher Education)",75000
Brisbane,"Computing Or Tech",58500
Brisbane,"Marketing, Advertising & Pr",52000
"Brisbane, Queensland",Environment,730000
Bristol,"Marketing, Advertising & Pr",200000
Bristol,"Government And Public Administration",48195
Bristol,"Education (Primary/Secondary)",38000
Bristol,Nonprofits,30950
"Bristol ","Accounting, Banking & Finance",24000
Brockville,Immigration,43000
Bronx,Law,89470
Brooklyn,"Computing Or Tech",132500
Brooklyn,"Art & Design",83150
Brooklyn,"Marketing, Advertising & Pr",65000
Brooklyn,"Social Work",61000
Broomfield,"Computing Or Tech",80500
Brossard,"Computing Or Tech",55000
"BrUnited Statessels",Insurance,55680
"BrUnited Statessels","Bunited Statesiness Or Consulting",40000
"BrUnited Statessels","Computing Or Tech",39000
"BrUnited Statessels ",Unknown,32400
Buckhannon,"Education (Primary/Secondary)",39820
Buffalo,"Accounting, Banking & Finance",64000
Buffalo,"Marketing, Advertising & Pr",48000
Buffalo,Nonprofits,42000
Buffalo,"Engineering Or Manufacturing",40000
Buffalo,"Beauty Manufacturing & Education ",35360
"Buffalo ","Accounting, Banking & Finance",81000
Burgenland,"Computing Or Tech",30000
Burlington,"Computing Or Tech",121500
Burlington,"Social Work",95000
Burlington,"Education (Higher Education)",33000
Burlington,Retail,31000
"Burnaby BC","Utilities & Telecommunications",63000
Calgary,"Utilities & Telecommunications",105000
Calgary,"Health Care",70000
Calgary,"Engineering Or Manufacturing",63000
Calgary,Nonprofits,54800
Calgary,"Social Work",47000
"Calgary, Alberta","Education (Higher Education)",42684
"Camarillo, CA ",Nonprofits,37000
Cambridge,"Health Care",237000
Cambridge,Biopharma,175000
Cambridge,Biotech/Pharma,155000
Cambridge,"Computing Or Tech",128584.62
Cambridge,"Recruitment Or Hr",115000
Cambridge,"Government And Public Administration",103000
Cambridge,"Education (Higher Education)",76166
Cambridge,"Accounting, Banking & Finance",72000
Cambridge,"Research ",54000
Cambridge,"Media & Digital",49803.5
"Cambridge ","Health Care",118000
"Cambridge ",Retail,20000
"Cambridge, MA","Education (Higher Education)",54500
"Cambridge, ON","Health Care",74500
"Can't say without losing my anonymity","Education (Higher Education)",101250
"Can't share","Education (Higher Education)",50000
"Canada ","Property Or Construction",70000
Canberra,"Bunited Statesiness Or Consulting",125000
Canberra,Retail,60000
Canberra,"Art & Design",57000
"Canbridge, UK",Pharmaceuticals,38800
Canton,"Computing Or Tech",60000
Canton,"Accounting, Banking & Finance",40000
"Cape Town","Media & Digital",543000
Cardiff,"Engineering Or Manufacturing",38500
Cardiff,"Hospitality & Events",18553
Carmel,"Hospitality & Events",59000
Carrollton,"Engineering Or Manufacturing",51000
"Carson City","Government And Public Administration",79719
"Cary, NC","Health Care",38000
castellon,Unknown,50
"Cedar Rapids",Retail,38000
Centennial,"Utilities & Telecommunications",62000
Centennial,"Property Or Construction",60000
"Centerville ","Accounting, Banking & Finance",38000
"CENTRAL CITY ","Accounting, Banking & Finance",37900
"Central MD","Accounting, Banking & Finance",50000
Champaign,"Health Care",71000
Champaign,Insurance,48500
"Champaign Urbana","Education (Higher Education)",55000
Chandler,"Computing Or Tech",52000
"Chapel Hill","Education (Higher Education)",115000
"Chapel Hill","Media & Digital",72800
"Chapel Hill","Bunited Statesiness Or Consulting",72500
Charleston,"Government And Public Administration",46000
Charleston,"Education (Primary/Secondary)",42000
Charlotte,"Media & Digital",135000
Charlotte,"Health Care",102480
Charlotte,"Property Or Construction",95000
Charlotte,"Recruitment Or Hr",90000
charlotte,"Accounting, Banking & Finance",81000
Charlotte,"Computing Or Tech",80500
Charlotte,"Engineering Or Manufacturing",78500
Charlotte,"Commercial Real Estate",58500
Charlotte,"Marketing, Advertising & Pr",57250
Charlotte,"Utilities & Telecommunications",50000
Charlotte,"Art & Design",32000
Charlottesville,"Computing Or Tech",117000
Charlottesville,"Accounting, Banking & Finance",37000
Charlottetown,"Hospitality & Events",40000
Chattanooga,Insurance,40000
Chelsea,Nonprofits,49939
Cheltenham,"Computing Or Tech",40000
Chemnitz,Journalism,30000
"Cherry Hill","Sales ",76000
"Cherry Hill","Recruitment Or Hr",70000
"Cherry Hill",Libraries,51300
"Cherry Hill","Education (Primary/Secondary)",44800
Chesterfield,Retail,75660
Chesterfield,"Education (Primary/Secondary)",32448
"Chestnut Hill","Education (Higher Education)",64000
Chicago,Law,255000
Chicago,"Computing Or Tech",120818.18
Chicago,"Bunited Statesiness Or Consulting",112875
Chicago,Compliance,112000
Chicago,Insurance,110356
Chicago,"Health Care",107500
Chicago,"Accounting, Banking & Finance",105042.86
Chicago,"Hospitality & Events",105000
Chicago,"Government And Public Administration",102880
Chicago,"Education (Primary/Secondary)",98000
Chicago,"Engineering Or Manufacturing",92200
Chicago,Retail,90000
Chicago,Manufacturing,84000
Chicago,Entertainment,81666.67
Chicago,"Education (Higher Education)",77524.38
Chicago,"Transport Or Logistics",77000
Chicago,Nonprofits,75557.89
Chicago,"Marketing, Advertising & Pr",72111.11
Chicago,"Gaming (Gambling)",72000
Chicago,"Association Management",68000
Chicago,"Leisure, Sport & Tourism",67500
Chicago,"Art & Design",66500
Chicago,"Utilities & Telecommunications",65000
Chicago,"Social Work",55000
Chicago,"Academic Medicine ",55000
Chicago,"Auction Hounited Statese",55000
Chicago,"Media & Digital",51000
Chicago,"Recruitment Or Hr",50000
Chicago,Sales,45000
Chicago,"Academic Press Production",42000
"Chicago ","Transport Or Logistics",95100
"Chicago ","Education (Primary/Secondary)",78000
"Chicago ","Health Care",70000
"Chicago ","Accounting, Banking & Finance",68000
"Chicago ","Philanthropy ",66500
"Chicago ","Education (Higher Education)",45000
"Chicago ",Retail,41288
"Chicago (suburbs)","Health Care",95000
Chicagoland,"Law Enforcement & Security",76500
Chicagoland,"Government And Public Administration",73000
"Chicagoland Area","Marketing, Advertising & Pr",52000
Chico,Retail,39520
Chilliwack,"Marketing, Advertising & Pr",83000
Chilliwack,"Law Enforcement & Security",75000
Chomutov,Retail,233160
Christchurch,Nonprofits,58500
Cincinnati,"Consumer Research",97000
Cincinnati,"Accounting, Banking & Finance",88000
Cincinnati,"Engineering Or Manufacturing",84000
Cincinnati,"Computing Or Tech",71400
Cincinnati,"Hospitality & Events",62000
cincinnati,"Education (Higher Education)",53125
Cincinnati,"Recruitment Or Hr",49900
Clawson,Sales,34320
Cleveland,Sales,192000
Cleveland,"Recruitment Or Hr",155000
Cleveland,"Marketing, Advertising & Pr",85000
Cleveland,"Engineering Or Manufacturing",80000
Cleveland,"Environment, Health, And Safety",70000
Cleveland,"Accounting, Banking & Finance",61800
Cleveland,Nonprofits,51000
Cleveland,"Education (Primary/Secondary)",50000
Cleveland,"Education (Higher Education)",30500
"Cleveland ","Food & Beverages",55000
"Cleveland ","Education (Higher Education)",53000
"Clinton Township","Computing Or Tech",46170
cody,"Accounting, Banking & Finance",55120
"College Park","Education (Higher Education)",105000
"College Park","Government And Public Administration",98553
"Colorado Springs",Automotive,80000
"Colorado Springs","Computing Or Tech",75000
"Colorado Springs ","Engineering Or Manufacturing",98000
Columbia,"Hospitality & Events",93000
Columbia,"Marketing, Advertising & Pr",82000
Columbia,"Recruitment Or Hr",80000
Columbia,"Government And Public Administration",78500
Columbia,"Education (Higher Education)",60035
Columbia,"Property Or Construction",31500
Columbia,"Accounting, Banking & Finance",12000
"Columbia, SC","Computing Or Tech",40000
"ColumbUnited States",Technology/Saas,87500
"ColumbUnited States","Government And Public Administration",83000
"ColumbUnited States",Nonprofits,50725
"ColumbUnited States","Recruitment Or Hr",50000
"ColumbUnited States",Law,50000
"ColumbUnited States","Art & Design",48000
"ColumbUnited States","Education (Higher Education)",44000
"ColumbUnited States","It Security",43680
"ColumbUnited States ",Law,120250
Conway,"Computing Or Tech",71000
Copenhagen,"Education (Higher Education)",550000
copenhagen,Law,550000
Copenhagen,"Marketing, Advertising & Pr",120000
Copenhagen,"Computing Or Tech",103000
"Coral Springs",Law,38000
Cork,"Accounting, Banking & Finance",33700
Corning,"Bunited Statesiness Or Consulting",55000
"Corona Del Mar","Health Care",65000
"CorpUnited States Christi","Government And Public Administration",39000
"CorpUnited States Christi ","Government And Public Administration",52000
Corvallis,"Health Care",72800
Corvallis,"Education (Higher Education)",51000
"Coventry ","Accounting, Banking & Finance",19500
"Coventry UK","Computing Or Tech",31200
"Crown Point","Health Care",65000
"Cupertino, CA","Computing Or Tech",133000
D.C.,Nonprofits,60000
Dallas,"Strategy Consulting",195000
Dallas,Sales,140000
Dallas,"Accounting, Banking & Finance",110000
Dallas,"Computing Or Tech",106333.33
Dallas,"Marketing, Advertising & Pr",103666.67
Dallas,"Engineering Or Manufacturing",95000
Dallas,"Transport Or Logistics",91000
Dallas,Insurance,79000
Dallas,"Health Care",76000
Dallas,Nonprofits,73000
Dallas,"Media & Digital",65205
Dallas,"Supply Chain Distribution ",61800
Dallas,"Education (Primary/Secondary)",58500
Dallas,"Education (Higher Education)",52000
"Dallas ",Law,44000
"Dana Point","Education (Primary/Secondary)",43700
Danbury,"Health Care",87500
Darmstadt,"Utilities & Telecommunications",90000
Dayton,"Government And Public Administration",100500
Dayton,"Engineering Or Manufacturing",98000
Dayton,"Health Care",72800
Dayton,"Education (Higher Education)",53923
Dayton,Nonprofits,42000
DC,"Computing Or Tech",183000
DC,"Government And Public Administration",120000
DC,Law,104250
DC,"Bunited Statesiness Or Consulting",102933.33
DC,Nonprofits,78333.33
"DC metro area, mostly DC and Montgomery County MD","Social Work",53000
Dearborn,"Engineering Or Manufacturing",90000
"Dearborn Heights","Education (Primary/Secondary)",59500
Decline,"Computing Or Tech",135000
"Declined ",Retail,34320
"Deerfield Beach","Transport Or Logistics",37400
Delft,Academia,56400
Denton,"Art & Design",175000
Denver,"Computing Or Tech",113384.62
Denver,"Health Care",112600
Denver,"Bunited Statesiness Or Consulting",103333.33
Denver,"Utilities & Telecommunications",100000
Denver,"Marketing, Advertising & Pr",94000
Denver,"Education (Higher Education)",74666.67
Denver,"Real Estate Investment",73000
Denver,"Accounting, Banking & Finance",72300
Denver,"Recruitment Or Hr",71500
Denver,Insurance,70000
Denver,"Government And Public Administration",68900
Denver,"Education (Primary/Secondary)",58000
Denver,Nonprofits,53166.67
Denver,"Media & Digital",52500
Denver,"Academic Science",37000
Denver,"Art & Design",36500
Denver,"Data Entry",31000
"Denver ",Nonprofits,64480
"Denver ","Health Care",30000
"Des Moines","Accounting, Banking & Finance",200000
"Des Moines","Government And Public Administration",103000
"Des Moines","Manufacturing ",88000
"Des Moines ","Accounting, Banking & Finance",74000
"Des Moines ","Health Care",55000
"Des Moines ","Recruitment Or Hr",52000
"Des Moines metro","Property Or Construction",35880
Detroit,"Art & Design",240000
Detroit,"Accounting, Banking & Finance",126500
Detroit,"Computing Or Tech",90779
Detroit,"Engineering Or Manufacturing",86000
Detroit,Law,70000
Detroit,Nonprofits,68000
Detroit,"Education (Higher Education)",55000
Detroit,Insurance,42000
Detroit,"Transport Or Logistics",40000
"Detroit, MI","Marketing, Advertising & Pr",70000
Devon,"Real Estate Title Company",47445
DFW,"Recruitment Or Hr",61500
"DFW area","Government And Public Administration",49600
"District of columbia","Computing Or Tech",102000
"District of Columbia","Government And Public Administration",60000
"District of Columbia ","Education (Higher Education)",70850
Draper,Mortgage,42000
"Dripping Springs","Agriculture Or Forestry",55000
Dubai,"Property Or Construction",98000
Dublin,"Computing Or Tech",75206.67
Dublin,"Contract Research Organisation",60121
Dublin,"Government And Public Administration",50000
Dublin,Nonprofits,47000
Dublin,Pharmaceuticals,39750
Dublin,"Accounting, Banking & Finance",35000
Dublin,"Education (Higher Education)",31000
"Dublin ","Computing Or Tech",106000
"Dubuque ",Insurance,57630
Dulles,"Transport Or Logistics",38000
Dundee,"Computing Or Tech",60000
Durango,"Health Care",52000
Durham,Insurance,128000
Durham,"Government And Public Administration",108518
Durham,"Accounting, Banking & Finance",99500
Durham,Nonprofits,64500
Durham,"Education (Higher Education)",57666.67
Durham,"Academic Publishing",55500
Durham,"Marketing, Advertising & Pr",55000
Durham,"Computing Or Tech",51666.67
Durham,"Graduate Assistant And Also Events ",24000
"Durham, NC","Health Care",135000
Duxford,"Engineering Or Manufacturing",92000
Eagan,"Accounting, Banking & Finance",48000
Eagan,"Health Care",45000
Eagle,"Education (Primary/Secondary)",50000
"East Bay area","Accounting, Banking & Finance",90000
"East Lansing","Education (Higher Education)",70000
"East Lansing","Computing Or Tech",52500
"East Stroudsburg","Engineering Or Manufacturing",65000
"East Windsor","Property Or Construction",58240
"Eastern WI City; approx. pop 50,000","Government And Public Administration",52000
Easthampton,"Marketing, Advertising & Pr",65000
"Eatontown, NJ","Medical Supply Wholesale & Warehounited Statesing",33000
"Eden Prairie","Education (Primary/Secondary)",63500
"Eden Prairie","Engineering Or Manufacturing",55000
"Edgartown ma","Hospitality & Events",58000
Edina,"Property Or Construction",61800
Edinburgh,"Accounting, Banking & Finance",53000
Edinburgh,"Bunited Statesiness Or Consulting",52000
Edinburgh,"Transport Or Logistics",50000
Edinburgh,"Government And Public Administration",40000
Edinburgh,"Media & Digital",39000
Edinburgh,"Education (Higher Education)",38000
Edinburgh,"Computing Or Tech",34000
Edinburgh,Nonprofits,25878.5
Edinburgh,Retail,20000
"Edinburgh ","Public Health",35000
Edmonds,"Education (Primary/Secondary)",91243
Edmonton,"Property Or Construction",92000
Edmonton,"Government And Public Administration",47300
Edmonton,"Subsidized Seniors Hounited Statesing",45000
Edson,"Hospitality & Events",30000
Effingham,"Government And Public Administration",41000
"Egg Harbor Township ",Retail,37500
Eindhoven,"Computing Or Tech",63000
"El Paso","Property Or Construction",154000
"El Paso",Nonprofits,36000
"El Paso","Accounting, Banking & Finance",35000
Elkridge,"Accounting, Banking & Finance",31400
Elkton,"Transport Or Logistics",69000
"Elkton, VA","Bunited Statesiness Or Consulting",42000
Emeryville,"Computing Or Tech",75000
Enfield,"Health Care",33150
Englewood,"Education (Primary/Secondary)",65000
Erie,"Recruitment Or Hr",66000
Erie,"Education (Higher Education)",50000
erie,"Hospitality & Events",37440
Escanaba,"Property Or Construction",62400
"Escondido ","Computing Or Tech",50000
Ethel,"Education (Primary/Secondary)",38600
Eufaula,Unknown,26000
Eugene,"Engineering Or Manufacturing",70000
Eugene,Nonprofits,38480
Eureka,"Government And Public Administration",56500
Evanston,Nonprofits,48000
Everett,"Government And Public Administration",72000
Everett,"Engineering Or Manufacturing",72000
Exeter,"Government And Public Administration",32000
"Exeter ",Retail,34500
Fairbanks,"Engineering Or Manufacturing",88000
Fairbanks,"Social Work",67600
Fairbanks,"Education (Higher Education)",57000
Fairfax,"Art & Design",115000
Fairfax,"Computing Or Tech",85000
"Fairfax ","Hospitality & Events",65000
"Fairfax (but now permanently virtual)","Utilities & Telecommunications",96000
"Fairfax County","Health Care",40000
"Falls Church","Health Care",235000
"Falls Church, VA",Nonprofits,58000
Fargo,Retail,81000
Fargo,"Government And Public Administration",56080
Fargo,"Health Care",29120
Faribault,"Engineering Or Manufacturing",90000
"Fayetteville ","Health Care",65000
Fishers,"Accounting, Banking & Finance",60156
Flagstaff,"Education (Higher Education)",56000
Florence,"Engineering Or Manufacturing",35000
"Fort bragg","Government And Public Administration",78000
"Fort Collins","Health Care",60200
"Fort Collins",Retail,28000
"Fort Myers",Retail,60000
"Fort Washington",Insurance,39000
"Fort Worth","Media & Digital",88000
"Fort Worth","Utilities & Telecommunications",41000
"Fox Valley","Engineering Or Manufacturing",64000
"Frankfurt a.M.","Computing Or Tech",72000
"Frankfurt am Main",Nonprofits,40000
Franklin,Insurance,40000
Frederick,"Government And Public Administration",106000
Frederick,"Computing Or Tech",100000
Fredericton,"Government And Public Administration",68500
"Fredonia ","Hospitality & Events",42300
Freeport,"Agriculture Or Forestry",55000
Fremont,"Hospitality & Events",65500
Frisco,"Marketing, Advertising & Pr",90000
Frisco,"Computing Or Tech",50000
"From home for a chicago based company","Media & Digital",42000
"Ft lauderdale","Art & Design",85000
"Ft Myers","Leisure, Sport & Tourism",92000
"Full remote position","Computing Or Tech",235000
"Fully Remote","Accounting, Banking & Finance",72000
Gainesville,"Bunited Statesiness Or Consulting",70000
Gainesville,"Education (Higher Education)",43350.5
"Gaitherburg ","Marketing, Advertising & Pr",62700
Gaithersburg,"Bunited Statesiness Or Consulting",80000
Gaithersburg,"Marketing, Advertising & Pr",71666.67
Gaithersburg,Nonprofits,49500
Galveston,"Computing Or Tech",50000
Galway,Entertainment,36
"Garnet Valley","Agriculture Or Forestry",52000
"Geismar ","Oil & Gas",66500
"Georgetown ","Engineering Or Manufacturing",60000
Glasgow,"Education (Higher Education)",39017
Glasgow,"Hospitality & Events",31538
Glasgow,Retail,25000
Glasgow,"Government And Public Administration",25000
Glasgow,"Accounting, Banking & Finance",25000
Glasgow,"Science ",20152
"Glasgow ","Health Care",32500
"Gloucester ","Social Work",60000
"Gloversville, NY","Social Work",33280
Golden,"Engineering Or Manufacturing",76997
Golden,"Marketing, Advertising & Pr",35000
Goma,Nonprofits,84000
Gorham/Portland,"Education (Higher Education)",34299
Gothenburg,"Computing Or Tech",438000
"Grand Rapids",Law,74000
"Grand Rapids","Recruitment Or Hr",66189
"Grand Rapids","Bunited Statesiness Or Consulting",33280
"Grand Rapids ","Accounting, Banking & Finance",69500
"Grand Rapids, MI",Nonprofits,62000
Grants,"Utilities & Telecommunications",130000
"Greater Boston area","Government And Public Administration",70000
"Greater New Orleans Metro Region","Property Or Construction",101000
"Greater Sacramento","Recruitment Or Hr",65000
Greensboro,"Transport Or Logistics",68000
Greensboro,"Recruitment Or Hr",48000
Greensboro,"Marketing, Advertising & Pr",42000
Greensboro,"Health Care",34500
Greensboro,"Government And Public Administration",34112
"Greensboro ",E-Commerce,45000
"Greensboro ","Government And Public Administration",43591
Greenville,"Accounting, Banking & Finance",60000
Greenville,"Health Care",57000
"Greenville ","Accounting, Banking & Finance",88000
